Task name,Assignee,Description,Due date,Effort level,Priority,Status,Task type,Updated at
Auth + middleware (email-only login + role guard),,JWT email-only login; middleware protects routes. Dev-only — prod SSO deferred (D2).,,Medium,High,In progress,⚙️ Core,
Items master + add-item wizard,,CRUD via /api/settings/items; quick-create wizard builds sub-items + sets counters.,,Medium,High,Done,⚙️ Core,
Item detail (5 tabs),,Overview / Media / Sub-codes / History / Maintenance — real data.,,Medium,High,Done,⚙️ Core,
Dispense — CONSUMABLE (lot FIFO),,Pick lot FIFO; optimistic-lock decrement Lot.remainingQty + Item.availableQty (underflow guard fixed).,,Medium,High,Done,⚙️ Core,
Dispense — COUNT (qty),,Decrement Item.availableQty via updateMany optimistic lock (no negative).,,Small,High,Done,⚙️ Core,
Dispense — ITEM (sub-item),,Pick sub-item; status AVAILABLE→CHECKED_OUT + status log.,,Small,High,Done,⚙️ Core,
Receive (stock-in + lot),,Create/update Lot; increment Item.totalQty + availableQty; create SubItems for tracked.,,Medium,High,Done,⚙️ Core,
Adjust / status change / return,,StockAdjustment record; prevent negatives; sub-item status transitions; over-return guard.,,Medium,High,Done,⚙️ Core,
Maintenance,,CRUD MaintenanceRecord; updates last/next maintenance date + status; summary + schedule.,,Medium,Medium,Done,⚙️ Core,
Reports (8) + export,,Stock summary / damaged / maintenance (history+schedule) / dispense / annual cost / usage / near-expiry-low-stock. xlsx + pdf export.,,Medium,Medium,Done,📊 Report,
Dashboard widgets (7 active),,Metric cards + greeting + monthly dispense + profile summary + recent dispense/receive. (StatusOverviewWidget unused on dashboard — was '8'.),,Small,Medium,Done,📊 Report,
Alerts (query only),,Low stock / near expiry / overdue maintenance / on loan. Email + cron deferred.,,Small,Medium,Done,⚠️ Partial,
QR generate / scan / print,,qrcode gen + html5-qrcode scan + print dialog.,,Small,Medium,Done,🛠️ Utility,
File upload,,Image upload to /uploads + serve; wired to item media.,,Small,Low,Done,🛠️ Utility,
AI semantic search (Gemini + pgvector),,Duplicate detection in add-item wizard; text-search fallback if no API key.,,Medium,Medium,Done,✨ AI,
CSV import (items/categories/locations/sub-items),,Bulk import via /api/settings/import. Sub-items now reconcile parent qty (fixed).,,Medium,Medium,In progress,🛠️ Utility,
CategoryProfile + DispenseType model,,5 profiles (CON/DUR/KRU/BAT); forcedTrackIndividually server-enforced.,,Small,High,Done,⚙️ Core,
Enforce assetTracking/setTracking server-side (D4),,Flags still decorative — strip/clamp disallowed fields on create/update/import; surface in wizard.,,Medium,Medium,Not started,🔧 Hardening,
Single-source qty derivation (ADR-0002),,Item.totalQty/availableQty as maintained counters — derive from Lots/SubItems. Risky — deferred.,,Large,Low,Not started,🔧 Hardening,
Kit / BOM,,Cut entirely (D1). Re-introduce in Phase 2 with borrow sets.,,Medium,Low,Not started,❌ Cut,
Borrow / return workflow + sets,,Phase 2. Student/teacher roles + borrow sets.,,Large,Medium,Not started,⏭️ Phase 2,
Entra ID SSO + NodeMailer email alerts,,Phase 2. Prod auth + email/cron alert delivery.,,Large,Medium,Not started,⏭️ Phase 2,
